Transactions Id,Sale Date,Sale Time,Customer Id,Gender,Age,Category,Quantity,Price Per Unit,Cost of Goods Sold,Total Sale
71,16-02-2023,19:11:00,32,Female,51.0,Beauty,4.0,25.0,11.5,100.0
72,06-12-2023,19:19:00,5,Female,20.0,Electronics,4.0,500.0,195.0,2000.0
73,14-01-2022,21:47:00,42,Male,29.0,Electronics,3.0,30.0,9.0,90.0
74,05-10-2023,19:50:00,56,Female,18.0,Beauty,4.0,500.0,205.0,2000.0
75,15-05-2023,20:51:00,110,Male,61.0,Beauty,4.0,50.0,13.5,200.0
76,09-09-2023,07:33:00,70,Female,22.0,Electronics,2.0,50.0,14.5,100.0
77,07-04-2022,20:45:00,44,Female,47.0,Clothing,2.0,50.0,24.0,100.0
78,17-02-2023,21:08:00,68,Female,47.0,Clothing,3.0,500.0,265.0,1500.0
79,13-04-2023,10:15:00,1,Male,34.0,Beauty,1.0,300.0,96.0,300.0
80,22-10-2023,16:51:00,82,Female,64.0,Clothing,2.0,30.0,12.3,60.0
81,07-06-2023,22:48:00,4,Male,40.0,Electronics,1.0,50.0,14.5,50.0
82,08-09-2022,12:55:00,85,Female,32.0,Beauty,4.0,50.0,15.0,200.0
83,27-11-2022,15:57:00,56,Male,54.0,Electronics,2.0,50.0,16.5,100.0
84,10-11-2023,17:17:00,89,Female,38.0,Electronics,3.0,30.0,10.2,90.0
85,03-09-2022,08:05:00,68,Male,31.0,Clothing,3.0,50.0,19.0,150.0
86,29-09-2023,18:55:00,69,Male,19.0,Beauty,3.0,30.0,15.6,90.0
87,07-09-2022,18:09:00,104,Female,28.0,Beauty,2.0,50.0,15.5,100.0
88,16-02-2023,08:31:00,122,Male,56.0,Clothing,1.0,500.0,185.0,500.0
89,30-12-2023,21:15:00,117,Female,55.0,Electronics,4.0,500.0,590.0,2000.0
90,10-09-2023,17:53:00,3,Female,51.0,Electronics,1.0,30.0,13.5,30.0
91,14-04-2023,06:31:00,152,Female,55.0,Electronics,1.0,500.0,235.0,500.0
92,21-03-2022,19:41:00,10,Female,51.0,Electronics,4.0,30.0,8.7,120.0
93,25-01-2022,20:52:00,148,Female,35.0,Beauty,4.0,500.0,140.0,2000.0
94,13-03-2023,22:39:00,5,Female,47.0,Beauty,2.0,500.0,250.0,1000.0
95,06-11-2022,19:57:00,103,Female,32.0,Clothing,2.0,30.0,7.5,60.0
96,22-11-2023,14:10:00,62,Female,44.0,Clothing,2.0,300.0,84.0,600.0
97,26-11-2022,18:17:00,112,Female,51.0,Beauty,2.0,500.0,555.0,1000.0
98,09-04-2023,19:41:00,1,Female,55.0,Beauty,2.0,50.0,19.5,100.0
99,19-11-2023,15:12:00,71,Female,50.0,Electronics,4.0,300.0,132.0,1200.0
100,08-02-2022,19:34:00,21,Male,41.0,Electronics,1.0,30.0,9.3,30.0
101,08-01-2022,08:46:00,24,Male,32.0,Clothing,2.0,300.0,135.0,600.0
102,17-04-2023,21:34:00,5,Female,47.0,Beauty,2.0,25.0,7.25,50.0
103,12-11-2022,10:05:00,33,Female,59.0,Clothing,1.0,25.0,10.75,25.0
104,09-06-2022,22:58:00,129,Female,34.0,Beauty,2.0,500.0,190.0,1000.0
105,18-06-2023,18:05:00,82,Female,22.0,Electronics,1.0,500.0,230.0,500.0
106,17-05-2023,18:58:00,1,Female,46.0,Clothing,1.0,50.0,15.0,50.0
107,06-10-2022,09:18:00,75,Female,21.0,Clothing,4.0,300.0,78.0,1200.0
108,24-01-2023,09:38:00,5,Female,27.0,Beauty,3.0,25.0,13.5,75.0
109,06-09-2023,19:57:00,94,Female,34.0,Electronics,4.0,500.0,560.0,2000.0
110,18-11-2022,17:28:00,149,Male,27.0,Clothing,3.0,300.0,99.0,900.0
111,15-04-2023,09:45:00,5,Female,34.0,Electronics,3.0,500.0,130.0,1500.0
112,25-12-2023,18:44:00,57,Male,37.0,Clothing,3.0,500.0,165.0,1500.0
113,08-10-2022,19:14:00,72,Female,41.0,Electronics,2.0,25.0,26.25,50.0
114,17-04-2022,20:57:00,92,Female,22.0,Beauty,4.0,25.0,9.25,100.0
115,02-09-2022,19:21:00,67,Male,51.0,Clothing,3.0,500.0,255.0,1500.0
116,22-06-2023,20:04:00,58,Female,23.0,Clothing,1.0,30.0,15.0,30.0
117,04-08-2023,11:38:00,8,Male,19.0,Electronics,2.0,500.0,230.0,1000.0
118,13-03-2023,20:07:00,3,Female,30.0,Electronics,4.0,500.0,270.0,2000.0
119,01-09-2023,09:11:00,127,Female,60.0,Clothing,3.0,50.0,27.5,150.0
120,31-03-2023,19:35:00,4,Male,60.0,Beauty,1.0,50.0,12.5,50.0
121,07-10-2023,18:57:00,110,Female,28.0,Electronics,4.0,50.0,54.5,200.0
122,01-12-2023,19:02:00,1,Male,64.0,Electronics,4.0,30.0,35.4,120.0
123,11-08-2023,19:00:00,3,Female,40.0,Electronics,2.0,30.0,11.7,60.0
124,24-12-2022,21:17:00,83,Male,33.0,Clothing,4.0,500.0,515.0,2000.0
125,28-09-2022,18:48:00,137,Male,48.0,Clothing,2.0,50.0,19.0,100.0
126,01-11-2022,18:16:00,63,Female,28.0,Clothing,3.0,30.0,28.8,90.0
127,20-05-2023,19:37:00,40,Female,33.0,Clothing,2.0,25.0,7.5,50.0
128,21-12-2022,22:22:00,77,Male,25.0,Beauty,1.0,500.0,180.0,500.0
129,17-04-2023,17:42:00,1,Female,21.0,Beauty,2.0,300.0,75.0,600.0
130,19-06-2023,06:21:00,114,Female,57.0,Clothing,1.0,500.0,125.0,500.0
131,29-09-2023,22:32:00,44,Female,21.0,Beauty,2.0,300.0,375.0,600.0
132,22-11-2023,20:34:00,86,Male,42.0,Electronics,4.0,50.0,62.0,200.0
133,23-06-2022,09:01:00,70,Male,20.0,Electronics,3.0,300.0,87.0,900.0
134,25-08-2022,09:03:00,132,Male,49.0,Electronics,1.0,50.0,16.0,50.0
135,18-04-2022,07:22:00,104,Male,20.0,Clothing,2.0,25.0,13.0,50.0
136,26-12-2023,08:59:00,25,Male,44.0,Electronics,2.0,300.0,141.0,600.0
137,10-09-2022,20:42:00,66,Male,46.0,Beauty,2.0,500.0,125.0,1000.0
138,27-04-2023,10:56:00,127,Male,49.0,Clothing,4.0,50.0,26.5,200.0
139,15-09-2023,14:03:00,113,Male,36.0,Beauty,4.0,500.0,230.0,2000.0
140,07-07-2022,20:20:00,61,Male,38.0,Electronics,1.0,30.0,14.4,30.0
141,01-11-2022,19:26:00,54,Female,22.0,Electronics,1.0,50.0,59.0,50.0
142,08-04-2022,10:05:00,61,Male,35.0,Electronics,4.0,300.0,138.0,1200.0
143,11-02-2023,22:20:00,118,Female,45.0,Clothing,1.0,50.0,27.5,50.0
144,26-03-2022,22:18:00,119,Female,59.0,Beauty,3.0,500.0,255.0,1500.0
145,06-11-2022,19:21:00,64,Female,39.0,Clothing,3.0,25.0,27.5,75.0
146,10-11-2022,22:01:00,74,Male,38.0,Clothing,4.0,50.0,49.0,200.0
147,12-11-2022,20:30:00,101,Male,23.0,Electronics,1.0,300.0,297.0,300.0
148,03-07-2023,20:39:00,5,Male,18.0,Clothing,2.0,30.0,9.9,60.0
149,14-10-2023,17:52:00,73,Male,22.0,Clothing,3.0,25.0,27.0,75.0
150,13-04-2022,08:25:00,89,Female,42.0,Electronics,4.0,30.0,16.2,120.0
151,12-10-2023,15:49:00,108,Male,29.0,Clothing,1.0,50.0,18.0,50.0
152,16-06-2022,11:58:00,120,Male,43.0,Electronics,4.0,500.0,210.0,2000.0
153,19-11-2023,15:52:00,62,Male,63.0,Electronics,2.0,500.0,195.0,1000.0
154,24-12-2022,17:47:00,24,Male,51.0,Electronics,3.0,300.0,321.0,900.0
155,18-07-2023,18:05:00,3,Male,31.0,Electronics,4.0,500.0,150.0,2000.0
156,02-12-2022,19:34:00,60,Female,43.0,Clothing,4.0,25.0,7.0,100.0
157,15-05-2022,21:59:00,98,Male,62.0,Electronics,4.0,500.0,170.0,2000.0
158,21-01-2022,11:38:00,141,Female,44.0,Electronics,2.0,300.0,132.0,600.0
159,10-11-2022,21:30:00,42,Male,26.0,Clothing,4.0,50.0,23.5,200.0
160,20-07-2022,17:08:00,127,Female,43.0,Clothing,2.0,50.0,26.5,100.0
161,01-07-2023,06:58:00,104,Male,64.0,Beauty,2.0,500.0,195.0,1000.0
162,11-04-2023,19:37:00,118,Male,39.0,Clothing,2.0,30.0,9.0,60.0
163,31-10-2022,09:38:00,144,Female,64.0,Clothing,3.0,50.0,23.0,150.0
164,28-02-2023,18:26:00,3,Female,47.0,Beauty,3.0,500.0,185.0,1500.0
165,24-09-2022,19:01:00,75,Female,60.0,Clothing,4.0,300.0,318.0,1200.0
166,28-01-2023,11:42:00,32,Male,34.0,Clothing,4.0,500.0,225.0,2000.0
167,21-09-2023,20:58:00,73,Female,43.0,Clothing,3.0,50.0,49.0,150.0
168,29-04-2022,09:20:00,138,Male,53.0,Clothing,1.0,300.0,102.0,300.0
169,28-11-2022,18:47:00,73,Male,18.0,Beauty,3.0,500.0,145.0,1500.0
170,21-09-2023,20:46:00,125,Female,25.0,Clothing,2.0,25.0,12.5,50.0
171,14-10-2022,20:10:00,109,Female,52.0,Clothing,3.0,300.0,126.0,900.0
172,21-10-2022,18:09:00,52,Male,32.0,Beauty,2.0,25.0,28.0,50.0
173,19-12-2023,17:30:00,85,Male,64.0,Electronics,4.0,30.0,14.1,120.0
174,15-11-2023,06:07:00,2,Female,39.0,Beauty,1.0,300.0,126.0,300.0
175,25-01-2023,10:02:00,23,Female,31.0,Electronics,4.0,25.0,12.5,100.0
176,26-05-2023,18:15:00,53,Female,43.0,Beauty,2.0,50.0,25.5,100.0
177,24-03-2023,08:40:00,30,Male,45.0,Beauty,2.0,50.0,26.5,100.0
178,11-10-2023,17:51:00,142,Male,40.0,Clothing,2.0,30.0,34.2,60.0
179,07-10-2023,20:42:00,121,Male,31.0,Electronics,1.0,300.0,375.0,300.0
180,05-11-2022,10:47:00,117,Male,41.0,Clothing,3.0,300.0,129.0,900.0
181,06-11-2023,19:59:00,79,Male,19.0,Electronics,4.0,300.0,327.0,1200.0
182,21-06-2023,19:27:00,27,Male,62.0,Beauty,4.0,30.0,10.2,120.0
183,01-09-2022,19:22:00,28,Female,43.0,Beauty,3.0,300.0,375.0,900.0
184,13-02-2022,06:44:00,128,Male,31.0,Electronics,4.0,50.0,17.0,200.0
185,27-06-2022,09:48:00,57,Male,24.0,Clothing,1.0,25.0,7.0,25.0
186,31-03-2022,18:15:00,92,Male,20.0,Clothing,4.0,50.0,23.5,200.0
187,20-02-2022,20:19:00,88,Female,64.0,Clothing,2.0,50.0,21.0,100.0
188,31-08-2023,18:50:00,3,Male,40.0,Clothing,3.0,25.0,8.5,75.0
189,02-01-2022,09:44:00,143,Male,63.0,Beauty,1.0,50.0,14.5,50.0
190,25-01-2023,17:56:00,2,Female,60.0,Beauty,3.0,30.0,10.5,90.0
191,22-12-2023,21:24:00,71,Male,64.0,Beauty,1.0,25.0,28.25,25.0
192,08-11-2022,08:05:00,134,Male,62.0,Beauty,2.0,50.0,13.0,100.0
193,27-03-2022,10:40:00,55,Male,35.0,Beauty,3.0,500.0,180.0,1500.0
194,11-10-2023,19:27:00,116,Male,55.0,Clothing,4.0,50.0,51.5,200.0
195,14-08-2022,11:51:00,10,Male,52.0,Clothing,1.0,30.0,9.3,30.0
196,29-12-2023,19:14:00,43,Female,32.0,Clothing,3.0,300.0,312.0,900.0
197,03-04-2022,11:57:00,14,Female,42.0,Clothing,4.0,50.0,25.5,200.0
198,21-05-2022,11:42:00,30,Female,54.0,Beauty,3.0,300.0,114.0,900.0
199,26-10-2023,21:34:00,53,Male,45.0,Beauty,3.0,500.0,135.0,1500.0
200,09-10-2022,22:29:00,130,Male,27.0,Beauty,3.0,50.0,60.0,150.0
201,13-10-2022,19:08:00,105,Male,56.0,Electronics,1.0,25.0,29.75,25.0
202,25-01-2023,06:24:00,61,Female,34.0,Clothing,4.0,300.0,120.0,1200.0
203,12-03-2023,21:33:00,4,Male,56.0,Clothing,2.0,500.0,175.0,1000.0
204,10-09-2022,21:04:00,101,Male,39.0,Beauty,1.0,25.0,31.25,25.0
205,22-11-2022,17:20:00,88,Female,43.0,Clothing,1.0,25.0,25.5,25.0
206,02-09-2022,18:18:00,31,Male,61.0,Clothing,1.0,25.0,11.75,25.0
207,06-08-2023,08:34:00,3,Female,42.0,Beauty,2.0,25.0,10.25,50.0
208,21-10-2023,20:56:00,144,Female,34.0,Electronics,4.0,50.0,57.0,200.0
209,03-09-2022,12:22:00,61,Female,30.0,Electronics,4.0,50.0,14.0,200.0
210,07-10-2023,08:50:00,2,Male,37.0,Electronics,4.0,50.0,19.0,200.0
211,12-09-2022,14:02:00,54,Male,42.0,Beauty,3.0,500.0,235.0,1500.0
212,12-10-2023,18:13:00,105,Male,21.0,Clothing,3.0,500.0,215.0,1500.0
213,13-08-2023,20:48:00,113,Male,27.0,Beauty,3.0,500.0,275.0,1500.0
214,05-11-2022,16:31:00,53,Male,20.0,Beauty,2.0,30.0,8.1,60.0
215,03-10-2022,21:20:00,101,Male,58.0,Clothing,3.0,500.0,145.0,1500.0
216,04-11-2022,17:28:00,141,Male,62.0,Electronics,2.0,50.0,26.5,100.0
217,02-05-2022,17:01:00,17,Female,35.0,Electronics,4.0,50.0,26.5,200.0
218,24-11-2022,20:39:00,144,Male,64.0,Beauty,3.0,30.0,33.9,90.0
219,16-09-2023,22:34:00,79,Female,53.0,Electronics,3.0,30.0,10.2,90.0
220,07-05-2022,06:44:00,138,Male,64.0,Beauty,1.0,500.0,140.0,500.0
221,27-11-2023,21:01:00,3,Male,39.0,Beauty,2.0,300.0,111.0,600.0
222,07-01-2023,18:56:00,4,Male,51.0,Clothing,4.0,30.0,10.5,120.0
223,15-01-2022,11:18:00,61,Female,64.0,Clothing,1.0,25.0,12.0,25.0
224,11-11-2022,21:32:00,99,Female,25.0,Clothing,1.0,50.0,24.0,50.0
225,05-03-2022,07:37:00,85,Female,57.0,Beauty,4.0,25.0,12.75,100.0
226,23-09-2022,17:02:00,69,Female,61.0,Clothing,1.0,50.0,57.5,50.0
227,15-11-2023,19:19:00,87,Male,36.0,Electronics,2.0,50.0,50.5,100.0
228,03-04-2023,20:26:00,4,Female,59.0,Electronics,2.0,30.0,10.8,60.0
229,09-11-2023,19:23:00,92,Male,58.0,Beauty,3.0,30.0,36.9,90.0
230,26-03-2023,17:44:00,5,Male,54.0,Beauty,1.0,25.0,12.5,25.0
231,09-07-2022,07:02:00,50,Female,23.0,Clothing,3.0,50.0,26.5,150.0
232,12-08-2022,07:14:00,150,Female,43.0,Beauty,1.0,25.0,12.75,25.0
233,03-09-2022,13:09:00,81,Female,51.0,Beauty,2.0,300.0,132.0,600.0
234,09-12-2023,17:42:00,64,Female,62.0,Electronics,2.0,25.0,13.75,50.0
235,10-03-2022,10:13:00,132,Female,23.0,Electronics,2.0,500.0,275.0,1000.0
236,01-04-2023,22:18:00,5,Female,54.0,Clothing,1.0,25.0,6.5,25.0
237,11-04-2022,08:54:00,105,Female,50.0,Beauty,2.0,500.0,165.0,1000.0
238,10-05-2022,11:52:00,20,Female,39.0,Beauty,1.0,500.0,150.0,500.0
239,19-09-2022,19:34:00,1,Male,38.0,Electronics,3.0,500.0,165.0,1500.0
240,05-11-2022,11:49:00,95,Female,23.0,Beauty,1.0,300.0,123.0,300.0
241,19-12-2023,20:21:00,108,Female,23.0,Electronics,3.0,25.0,26.75,75.0
242,01-10-2023,18:28:00,1,Male,21.0,Clothing,1.0,25.0,8.0,25.0
243,24-06-2023,18:02:00,5,Female,47.0,Electronics,3.0,300.0,156.0,900.0
244,14-09-2023,13:57:00,101,Male,28.0,Beauty,2.0,50.0,20.5,100.0
245,01-12-2023,21:41:00,75,Male,47.0,Clothing,3.0,30.0,36.0,90.0
246,07-12-2023,20:05:00,4,Female,48.0,Electronics,2.0,25.0,13.25,50.0
247,23-12-2022,17:56:00,82,Male,41.0,Electronics,2.0,30.0,31.5,60.0
248,02-07-2022,07:11:00,5,Male,26.0,Clothing,3.0,300.0,126.0,900.0
249,28-09-2022,20:17:00,109,Male,20.0,Clothing,1.0,50.0,53.5,50.0
250,24-12-2022,23:00:00,91,Male,48.0,Electronics,1.0,50.0,60.5,50.0
251,15-09-2022,21:00:00,141,Female,57.0,Beauty,4.0,50.0,62.5,200.0
252,05-05-2023,17:37:00,1,Male,54.0,Electronics,1.0,300.0,84.0,300.0
253,30-09-2022,21:26:00,66,Female,53.0,Clothing,4.0,500.0,525.0,2000.0
254,14-12-2022,22:45:00,104,Male,41.0,Electronics,1.0,500.0,165.0,500.0
255,15-10-2023,11:44:00,19,Male,48.0,Clothing,1.0,30.0,14.7,30.0
256,09-01-2022,08:05:00,3,Male,23.0,Clothing,2.0,500.0,270.0,1000.0
257,10-12-2022,08:49:00,130,Male,19.0,Beauty,4.0,500.0,165.0,2000.0
258,29-12-2023,17:40:00,109,Female,37.0,Clothing,1.0,50.0,22.0,50.0
259,11-03-2023,20:26:00,93,Female,45.0,Clothing,4.0,50.0,22.5,200.0
260,19-01-2023,21:09:00,107,Male,28.0,Beauty,2.0,30.0,10.5,60.0
261,06-02-2022,17:48:00,16,Male,21.0,Clothing,2.0,25.0,8.25,50.0
262,15-09-2023,20:33:00,30,Female,32.0,Beauty,4.0,30.0,12.6,120.0
263,04-05-2022,21:48:00,133,Male,23.0,Beauty,2.0,30.0,34.8,60.0
264,26-12-2022,11:03:00,111,Male,47.0,Clothing,3.0,300.0,150.0,900.0
265,24-11-2022,12:12:00,80,Male,55.0,Clothing,3.0,300.0,132.0,900.0
266,12-09-2022,18:26:00,66,Female,19.0,Electronics,2.0,30.0,14.4,60.0
267,19-11-2022,17:53:00,84,Female,32.0,Beauty,3.0,30.0,12.0,90.0
268,14-04-2022,08:26:00,93,Female,28.0,Electronics,1.0,30.0,8.7,30.0
269,19-09-2022,11:31:00,87,Male,25.0,Clothing,4.0,500.0,250.0,2000.0
270,17-12-2022,17:46:00,84,Male,43.0,Electronics,1.0,300.0,117.0,300.0
271,12-09-2023,18:23:00,44,Female,62.0,Beauty,4.0,30.0,9.3,120.0
272,10-06-2022,11:57:00,112,Female,61.0,Electronics,2.0,50.0,27.5,100.0
273,26-09-2023,20:24:00,1,Female,22.0,Beauty,1.0,50.0,14.5,50.0
274,14-04-2023,07:12:00,4,Female,23.0,Clothing,2.0,500.0,150.0,1000.0
275,05-03-2023,11:34:00,2,Male,43.0,Clothing,2.0,500.0,260.0,1000.0
276,18-10-2023,21:27:00,40,Female,21.0,Beauty,4.0,25.0,27.5,100.0
277,03-07-2023,22:10:00,139,Male,36.0,Clothing,4.0,25.0,12.25,100.0
278,22-12-2023,11:42:00,71,Female,37.0,Clothing,4.0,25.0,13.5,100.0
279,10-08-2023,17:29:00,38,Male,50.0,Clothing,1.0,500.0,210.0,500.0
280,17-11-2023,09:35:00,76,Female,37.0,Clothing,3.0,500.0,240.0,1500.0
281,18-09-2023,20:09:00,4,Female,29.0,Beauty,4.0,500.0,275.0,2000.0
282,05-10-2023,17:39:00,10,Female,64.0,Electronics,4.0,50.0,56.0,200.0
283,01-06-2023,20:08:00,3,Female,18.0,Electronics,1.0,500.0,165.0,500.0
284,12-11-2022,09:17:00,129,Male,43.0,Clothing,4.0,50.0,20.5,200.0
285,01-12-2023,18:14:00,107,Female,31.0,Electronics,1.0,25.0,13.5,25.0
286,05-10-2022,22:56:00,92,Male,55.0,Electronics,2.0,25.0,27.75,50.0
287,26-08-2022,11:07:00,88,Male,54.0,Clothing,4.0,25.0,10.0,100.0
288,02-05-2022,09:59:00,27,Male,28.0,Clothing,4.0,30.0,12.0,120.0
289,09-09-2023,20:29:00,107,Male,53.0,Electronics,2.0,30.0,8.1,60.0
290,08-12-2023,21:39:00,86,Female,30.0,Beauty,2.0,300.0,342.0,600.0
291,22-11-2022,08:29:00,15,Male,60.0,Clothing,2.0,300.0,126.0,600.0
292,10-10-2022,06:33:00,111,Male,20.0,Beauty,4.0,300.0,141.0,1200.0
293,27-05-2023,19:04:00,4,Male,50.0,Electronics,3.0,30.0,9.6,90.0
294,09-10-2023,09:24:00,89,Female,23.0,Clothing,3.0,30.0,15.3,90.0
295,01-02-2022,20:23:00,80,Female,27.0,Beauty,3.0,300.0,105.0,900.0
296,31-12-2022,22:44:00,73,Female,22.0,Clothing,4.0,300.0,369.0,1200.0
297,12-09-2022,21:09:00,70,Female,40.0,Electronics,2.0,500.0,595.0,1000.0
298,05-10-2023,19:05:00,3,Male,27.0,Beauty,4.0,300.0,84.0,1200.0
299,25-01-2023,20:03:00,76,Male,61.0,Electronics,2.0,500.0,230.0,1000.0
300,08-01-2022,09:41:00,138,Female,19.0,Electronics,4.0,50.0,26.5,200.0
301,30-07-2023,10:58:00,104,Male,30.0,Clothing,4.0,30.0,9.6,120.0
302,09-02-2023,17:51:00,26,Male,57.0,Beauty,2.0,300.0,135.0,600.0
303,22-04-2022,11:09:00,54,Male,19.0,Electronics,3.0,30.0,14.7,90.0
304,23-03-2023,18:35:00,59,Female,37.0,Electronics,2.0,30.0,15.6,60.0
305,22-03-2023,22:09:00,4,Female,18.0,Beauty,1.0,30.0,14.4,30.0
306,04-01-2022,22:05:00,148,Male,54.0,Electronics,1.0,50.0,26.5,50.0
